frequency_hz,receiver_dbfs_per_bin
222500048.828,-67.185490
222500195.312,-68.513022
222500341.797,-70.377831
222500488.281,-72.574334
222500634.766,-74.379538
222500781.250,-74.365676
222500927.734,-73.774668
222501074.219,-73.800653
222501220.703,-73.750822
222501367.188,-73.926516
222501513.672,-74.033050
222501660.156,-73.930947
222501806.641,-74.188920
222501953.125,-73.977798
222502099.609,-74.372901
222502246.094,-75.023223
222502392.578,-75.041946
222502539.062,-74.736829
222502685.547,-74.565437
222502832.031,-74.869484
222502978.516,-75.329271
222503125.000,-75.376231
222503271.484,-75.348844
222503417.969,-75.561981
222503564.453,-75.248586
222503710.938,-75.202329
222503857.422,-75.238356
222504003.906,-75.121496
222504150.391,-74.824515
222504296.875,-74.650248
222504443.359,-74.574883
222504589.844,-74.759910
222504736.328,-74.864509
222504882.812,-74.869961
222505029.297,-75.258635
222505175.781,-75.074950
222505322.266,-75.070678
222505468.750,-75.205171
222505615.234,-75.245910
222505761.719,-75.246450
222505908.203,-74.984529
222506054.688,-75.003752
222506201.172,-75.226337
222506347.656,-75.005837
222506494.141,-75.138131
222506640.625,-75.576217
222506787.109,-75.837202
222506933.594,-75.770268
222507080.078,-75.703906
222507226.562,-75.593879
222507373.047,-75.740531
222507519.531,-75.788550
222507666.016,-75.980077
222507812.500,-75.784947
222507958.984,-75.489488
222508105.469,-75.493156
222508251.953,-75.939177
222508398.438,-76.092737
222508544.922,-75.955332
222508691.406,-75.941205
222508837.891,-75.989748
222508984.375,-76.171990
222509130.859,-76.108634
222509277.344,-76.331460
222509423.828,-76.425409
222509570.312,-76.446818
222509716.797,-76.494083
222509863.281,-76.225827
222510009.766,-76.184315
222510156.250,-76.525445
222510302.734,-76.583735
222510449.219,-76.361182
222510595.703,-76.507130
222510742.188,-76.363171
222510888.672,-76.409059
222511035.156,-76.556133
222511181.641,-76.484921
222511328.125,-75.950278
222511474.609,-75.721898
222511621.094,-75.686268
222511767.578,-75.839403
222511914.062,-76.018391
222512060.547,-76.330164
222512207.031,-76.170530
222512353.516,-76.447884
222512500.000,-76.528100
222512646.484,-76.607736
222512792.969,-76.602418
222512939.453,-76.677546
222513085.938,-76.671637
222513232.422,-76.606847
222513378.906,-76.662309
222513525.391,-76.456218
222513671.875,-76.295530
222513818.359,-76.279426
222513964.844,-76.493338
222514111.328,-76.231367
222514257.812,-76.144927
222514404.297,-76.563979
222514550.781,-76.527605
222514697.266,-76.425681
222514843.750,-76.244272
222514990.234,-76.168676
222515136.719,-76.331986
222515283.203,-76.110467
222515429.688,-76.415700
222515576.172,-76.586597
222515722.656,-76.567614
222515869.141,-76.439904
222516015.625,-76.382146
222516162.109,-76.419279
222516308.594,-76.479363
222516455.078,-76.476865
222516601.562,-76.514440
222516748.047,-76.222579
222516894.531,-75.873441
222517041.016,-76.088441
222517187.500,-76.310898
222517333.984,-76.165731
222517480.469,-76.441978
222517626.953,-76.541794
222517773.438,-76.491810
222517919.922,-76.325466
222518066.406,-76.254156
222518212.891,-76.181652
222518359.375,-76.343022
222518505.859,-76.228022
222518652.344,-76.296106
222518798.828,-76.281675
222518945.312,-76.293990
222519091.797,-76.506937
222519238.281,-76.573830
222519384.766,-76.490829
222519531.250,-76.436287
222519677.734,-76.313569
222519824.219,-75.873846
222519970.703,-76.062017
222520117.188,-76.222336
222520263.672,-76.212666
222520410.156,-75.835500
222520556.641,-75.683953
222520703.125,-75.352428
222520849.609,-75.383311
222520996.094,-75.821852
222521142.578,-76.186153
222521289.062,-76.022756
222521435.547,-76.020104
222521582.031,-75.981430
222521728.516,-76.066771
222521875.000,-75.734206
222522021.484,-75.761073
222522167.969,-75.861173
222522314.453,-75.761402
222522460.938,-76.097754
222522607.422,-76.418812
222522753.906,-75.993680
222522900.391,-75.841336
222523046.875,-75.996491
222523193.359,-75.896935
222523339.844,-75.981851
222523486.328,-75.937565
222523632.812,-75.591419
222523779.297,-75.445653
222523925.781,-75.728323
222524072.266,-75.868689
222524218.750,-75.876683
222524365.234,-75.943151
222524511.719,-75.928516
222524658.203,-75.937294
222524804.688,-76.150593
222524951.172,-75.886088
222525097.656,-75.822668
222525244.141,-76.245245
222525390.625,-76.219005
222525537.109,-76.072917
222525683.594,-76.008052
222525830.078,-75.920128
222525976.562,-75.975426
222526123.047,-76.410924
222526269.531,-76.342851
222526416.016,-76.009432
222526562.500,-75.834912
222526708.984,-75.629296
222526855.469,-75.725911
222527001.953,-75.891836
222527148.438,-76.021045
222527294.922,-76.107142
222527441.406,-75.890339
222527587.891,-75.835447
222527734.375,-75.722167
222527880.859,-75.560348
222528027.344,-75.606945
222528173.828,-75.902082
222528320.312,-76.265094
222528466.797,-76.197364
222528613.281,-76.120617
222528759.766,-76.172338
222528906.250,-76.263562
222529052.734,-76.320363
222529199.219,-76.208793
222529345.703,-75.898909
222529492.188,-75.921611
222529638.672,-76.143435
222529785.156,-76.042042
222529931.641,-76.082301
222530078.125,-76.364361
222530224.609,-76.484004
222530371.094,-76.242170
222530517.578,-76.271402
222530664.062,-76.345347
222530810.547,-76.316352
222530957.031,-76.395687
222531103.516,-76.064530
222531250.000,-76.040666
222531396.484,-75.998870
222531542.969,-76.075825
222531689.453,-76.212838
222531835.938,-76.099591
222531982.422,-76.039738
222532128.906,-75.955734
222532275.391,-75.785841
222532421.875,-75.828879
222532568.359,-75.986290
222532714.844,-75.843041
222532861.328,-75.729004
222533007.812,-76.219902
222533154.297,-76.237505
222533300.781,-76.037086
222533447.266,-75.789386
222533593.750,-75.708599
222533740.234,-75.480988
222533886.719,-75.452003
222534033.203,-75.623611
222534179.688,-75.425116
222534326.172,-75.481814
222534472.656,-75.750104
222534619.141,-75.468368
222534765.625,-75.536971
222534912.109,-75.760318
222535058.594,-75.845304
222535205.078,-75.801938
222535351.562,-75.864312
222535498.047,-76.140011
222535644.531,-76.007129
222535791.016,-76.052486
222535937.500,-76.026139
222536083.984,-75.906893
222536230.469,-75.890362
222536376.953,-76.207196
222536523.438,-76.010691
222536669.922,-75.865701
222536816.406,-75.571840
222536962.891,-75.429246
222537109.375,-75.442276
222537255.859,-75.456349
222537402.344,-75.426554
222537548.828,-75.315692
222537695.312,-75.302456
222537841.797,-75.380502
222537988.281,-75.388098
222538134.766,-75.791751
222538281.250,-75.860990
222538427.734,-75.760132
222538574.219,-75.636146
222538720.703,-75.468951
222538867.188,-75.145651
222539013.672,-75.193246
222539160.156,-75.227417
222539306.641,-75.478260
222539453.125,-75.383582
222539599.609,-75.496620
222539746.094,-75.356289
222539892.578,-75.383449
222540039.062,-75.448685
222540185.547,-75.142064
222540332.031,-74.941833
222540478.516,-75.407830
222540625.000,-75.518743
222540771.484,-75.517794
222540917.969,-75.842287
222541064.453,-75.546555
222541210.938,-74.916738
222541357.422,-74.517294
222541503.906,-74.828690
222541650.391,-74.850099
222541796.875,-75.066730
222541943.359,-75.062196
222542089.844,-75.245314
222542236.328,-75.346482
222542382.812,-75.082664
222542529.297,-75.341273
222542675.781,-75.364426
222542822.266,-75.411570
222542968.750,-75.339168
222543115.234,-75.667530
222543261.719,-75.727072
222543408.203,-75.671958
222543554.688,-75.687313
222543701.172,-75.562644
222543847.656,-75.512158
222543994.141,-75.377200
222544140.625,-75.297960
222544287.109,-75.206514
222544433.594,-75.451214
222544580.078,-75.415606
222544726.562,-75.327015
222544873.047,-75.660120
222545019.531,-75.578293
222545166.016,-75.301352
222545312.500,-75.215604
222545458.984,-75.500954
222545605.469,-75.417107
222545751.953,-75.447464
