snapshot,payload_epoch,i_sample,q_sample,i_sdm,q_sdm,dds_phase_group,selector_state
0,4201,8704,-3328,1,0,0,2
1,4201,-9088,-2688,0,0,0,0
2,4201,5888,7168,1,0,3,3
3,4201,-640,-9472,1,1,3,1
4,4201,-5248,7808,1,1,1,2
5,4201,8704,-3200,1,0,0,2
6,4201,-9088,-2688,1,1,0,3
7,4203,-6656,-6784,0,1,0,1
8,4203,1280,9216,1,0,0,2
9,4203,3968,-8576,0,0,3,2
10,4203,-8320,4352,0,0,3,2
11,4203,9216,1408,1,0,2,1
12,4203,-6656,-6784,0,1,0,1
13,4203,1152,9216,1,0,0,2
14,4203,4096,-8576,0,0,3,2
15,4203,-8320,4352,0,1,3,0
16,4204,-9344,-1536,1,1,2,0
17,4204,6528,6656,0,0,0,0
18,4204,-1280,-9344,1,1,0,3
19,4204,-4224,8320,0,0,3,2
20,4204,8320,-4352,1,1,3,1
21,4204,-9344,-1536,0,1,2,2
22,4204,6400,6784,0,0,0,0
23,4204,-1280,-9344,1,1,0,3
24,4204,-4224,8320,1,1,3,1
25,4204,8320,-4224,1,1,3,1
26,4204,-9344,-1664,0,1,2,2
27,4204,6400,6784,1,0,0,2
28,4204,-1152,-9344,1,1,0,3
29,4204,-4224,8320,0,0,3,2
30,4204,8320,-4224,0,0,3,2
31,4204,-9344,-1792,0,0,2,3
32,4204,6400,6784,0,0,0,0
33,4204,-1024,-9344,1,0,0,2
34,4204,-4352,8320,0,0,3,2
35,4204,8320,-4224,1,1,3,1
36,4204,-9344,-1792,0,1,2,2
37,4204,6272,6912,1,1,0,3
38,4204,-1024,-9344,0,1,0,1
39,4204,-4480,8192,1,0,3,3
40,4204,8448,-4224,0,1,3,0
41,4204,-9344,-1792,0,1,2,2
42,4204,6272,6912,1,1,0,3
43,4204,-896,-9344,1,1,0,3
44,4204,-4480,8192,1,0,3,3
45,4204,8448,-4096,1,1,3,1
46,4204,-9344,-1920,1,0,2,1
47,4204,6272,6912,1,0,0,2
48,4205,9216,-896,1,0,0,2
49,4205,-8320,-4480,1,0,3,3
50,4205,3968,8448,0,1,3,0
51,4205,1920,-9216,0,1,2,2
52,4205,-7040,6144,1,0,0,2
53,4205,9216,-896,1,1,0,3
54,4205,-8320,-4480,0,1,3,0
55,4205,3968,8448,1,0,3,3
56,4205,1920,-9216,1,1,2,0
57,4205,-7168,6144,1,1,0,3
58,4205,9344,-768,0,1,0,1
59,4205,-8320,-4480,0,1,3,0
60,4205,3840,8448,0,0,3,2
61,4205,1920,-9216,0,1,2,2
62,4205,-7168,6144,0,1,0,1
63,4205,9344,-768,0,0,0,0
64,4205,-8320,-4608,1,0,3,3
65,4205,3840,8448,0,0,3,2
66,4205,2048,-9216,1,0,2,1
67,4205,-7168,6144,0,1,0,1
68,4205,9344,-768,1,1,0,3
69,4205,-8192,-4736,1,0,3,3
70,4205,3712,8576,0,0,3,2
71,4205,2048,-9216,1,0,2,1
72,4205,-7168,6016,0,0,0,0
73,4205,9344,-768,1,1,0,3
74,4205,-8192,-4736,1,0,3,3
75,4205,3712,8576,1,0,3,3
76,4205,2048,-9216,1,1,2,0
77,4205,-7296,5888,1,0,0,2
78,4205,9344,-640,1,0,0,2
79,4206,-8320,896,0,0,3,2
80,4206,8576,-3712,0,1,3,0
81,4206,-9216,-2304,1,1,2,0
82,4206,5888,7168,1,0,0,2
83,4206,-512,-9472,1,1,0,3
84,4206,-4864,8064,0,1,3,0
85,4206,8576,-3712,1,1,3,1
86,4206,-9216,-2304,0,1,2,2
87,4206,5888,7168,1,0,0,2
88,4206,-512,-9472,0,1,0,1
89,4206,-4864,7936,1,0,3,3
90,4206,8704,-3712,1,1,3,1
91,4206,-9216,-2304,0,0,2,3
92,4206,5888,7168,1,0,0,2
93,4206,-512,-9472,0,1,0,1
94,4206,-4864,7936,0,1,3,0
95,4206,8704,-3584,1,1,3,1
96,4206,-9216,-2432,0,0,2,3
97,4206,5888,7168,1,0,0,2
98,4206,-384,-9472,1,1,0,3
99,4206,-4864,7936,1,0,3,3
100,4206,8704,-3584,1,0,3,3
101,4206,-9088,-2560,0,1,2,2
102,4206,5760,7296,1,1,0,3
103,4206,-384,-9472,0,1,0,1
104,4206,-4992,7936,0,1,3,0
105,4206,8704,-3584,1,0,3,3
106,4206,-9088,-2560,0,1,2,2
107,4206,5632,7296,0,1,0,1
108,4206,-256,-9472,0,1,0,1
109,4206,-4992,7936,0,1,3,0
110,4206,8704,-3456,1,0,3,3
111,4207,-9088,-2560,1,1,2,0
112,4207,5632,7296,1,0,0,2
113,4207,-128,-9472,0,0,0,0
114,4207,-5120,7936,0,0,3,2
115,4207,8704,-3328,1,1,3,1
116,4207,-9088,-2688,0,0,2,3
117,4207,5632,7296,0,0,0,0
118,4207,-128,-9472,0,0,0,0
119,4207,-5248,7808,1,0,3,3
