offset_hz,q_positive_dbfs_per_bin,q_negative_dbfs_per_bin
-4989.624,-36.955707,-45.163686
-4971.313,-56.694209,-68.824351
-4953.003,-71.134119,-82.353961
-4934.692,-79.474477,-87.319440
-4916.382,-84.937721,-90.266595
-4898.071,-87.447213,-91.367551
-4879.761,-90.046073,-89.810679
-4861.450,-88.903459,-89.641158
-4843.140,-89.003441,-90.104052
-4824.829,-89.771923,-89.328715
-4806.518,-90.386745,-88.591865
-4788.208,-86.518531,-80.657451
-4769.897,-61.568758,-58.638507
-4751.587,-56.669913,-54.979426
-4733.276,-63.712287,-63.407970
-4714.966,-89.632669,-86.848838
-4696.655,-90.898856,-89.076950
-4678.345,-90.942264,-90.646983
-4660.034,-89.971314,-89.510314
-4641.724,-90.190034,-90.166197
-4623.413,-89.367323,-88.790049
-4605.102,-89.309099,-89.682212
-4586.792,-90.089393,-90.347891
-4568.481,-89.001810,-89.322721
-4550.171,-89.697506,-89.566466
-4531.860,-89.085882,-89.548328
-4513.550,-89.740421,-90.048321
-4495.239,-90.199063,-90.909988
-4476.929,-90.580377,-89.494056
-4458.618,-89.298758,-89.333694
-4440.308,-89.972059,-89.325474
-4421.997,-89.298923,-89.826896
-4403.686,-89.900331,-89.687654
-4385.376,-89.041971,-89.845097
-4367.065,-89.248469,-88.964602
-4348.755,-90.171901,-88.671010
-4330.444,-90.775178,-90.371978
-4312.134,-91.350424,-89.724187
-4293.823,-90.767563,-89.643283
-4275.513,-80.915840,-77.736090
-4257.202,-72.621028,-70.532714
-4238.892,-75.505161,-74.761705
-4220.581,-87.052274,-88.388699
-4202.270,-89.336077,-89.069223
-4183.960,-90.581376,-89.644218
-4165.649,-90.976194,-89.461454
-4147.339,-91.137087,-91.124017
-4129.028,-92.479117,-90.190475
-4110.718,-91.289471,-90.612746
-4092.407,-90.648621,-91.913267
-4074.097,-89.827658,-91.062755
-4055.786,-89.967237,-90.273347
-4037.475,-90.879840,-89.814820
-4019.165,-88.005234,-89.680640
-4000.854,-86.461783,-88.892158
-3982.544,-88.510677,-88.725654
-3964.233,-88.834705,-88.885454
-3945.923,-89.983840,-90.440483
-3927.612,-90.630685,-91.447934
-3909.302,-90.428824,-90.595563
-3890.991,-90.484740,-88.396923
-3872.681,-91.685636,-88.459264
-3854.370,-90.196840,-89.104675
-3836.059,-89.388712,-89.576048
-3817.749,-89.884076,-90.240098
-3799.438,-89.845272,-90.426919
-3781.128,-86.357501,-82.092558
-3762.817,-73.197891,-70.521064
-3744.507,-72.821799,-71.446593
-3726.196,-84.456574,-85.300259
-3707.886,-88.986628,-89.499279
-3689.575,-88.991319,-89.180951
-3671.265,-90.467403,-89.058604
-3652.954,-90.247527,-89.460677
-3634.643,-89.910560,-89.023461
-3616.333,-90.469942,-88.437305
-3598.022,-89.606222,-87.758375
-3579.712,-89.819251,-88.657197
-3561.401,-89.138532,-91.636243
-3543.091,-88.823881,-91.225235
-3524.780,-89.481694,-90.582535
-3506.470,-89.151122,-89.732678
-3488.159,-91.073881,-89.759468
-3469.849,-90.846786,-89.871538
-3451.538,-89.370015,-89.505178
-3433.227,-90.221704,-89.631011
-3414.917,-90.305515,-89.906763
-3396.606,-90.230687,-89.743152
-3378.296,-89.754495,-89.265730
-3359.985,-89.697594,-88.240601
-3341.675,-89.000956,-87.634262
-3323.364,-87.763776,-88.126665
-3305.054,-88.095940,-86.251323
-3286.743,-79.587123,-73.622041
-3268.433,-57.375893,-54.564670
-3250.122,-53.494797,-51.906514
-3231.811,-61.650207,-61.566093
-3213.501,-86.103965,-82.984378
-3195.190,-88.645922,-87.501258
-3176.880,-88.029047,-87.731985
-3158.569,-88.375906,-86.993675
-3140.259,-88.069819,-87.333746
-3121.948,-87.991094,-84.278690
-3103.638,-84.518351,-81.327615
-3085.327,-79.633501,-76.089231
-3067.017,-73.581117,-69.318017
-3048.706,-63.794602,-59.263270
-3030.395,-46.307417,-39.936981
-3012.085,-32.907062,-28.401536
-2993.774,-33.052504,-29.713538
-2975.464,-47.017817,-45.932370
-2957.153,-64.047412,-61.671533
-2938.843,-73.476853,-70.861209
-2920.532,-80.415338,-77.016889
-2902.222,-84.065391,-81.848037
-2883.911,-87.184117,-85.448792
-2865.601,-88.758319,-87.349230
-2847.290,-88.938674,-87.268423
-2828.979,-90.053728,-88.544356
-2810.669,-88.397444,-87.790847
-2792.358,-82.100959,-83.501932
-2774.048,-56.341299,-53.010805
-2755.737,-48.532556,-46.566015
-2737.427,-52.699934,-52.002448
-2719.116,-76.812433,-81.919715
-2700.806,-85.886052,-88.192023
-2682.495,-89.156427,-88.263967
-2664.184,-89.308531,-88.397397
-2645.874,-89.550287,-88.875251
-2627.563,-88.343620,-89.111083
-2609.253,-88.829260,-89.085408
-2590.942,-89.860967,-90.147623
-2572.632,-89.153985,-91.585009
-2554.321,-88.696044,-90.134411
-2536.011,-90.955436,-89.670392
-2517.700,-90.638713,-85.767404
-2499.390,-89.330931,-85.970055
-2481.079,-90.947201,-89.338848
-2462.768,-84.054251,-88.898409
-2444.458,-84.659695,-89.370155
-2426.147,-89.927475,-89.669068
-2407.837,-88.785668,-88.499848
-2389.526,-88.527281,-87.837441
-2371.216,-88.478405,-89.140607
-2352.905,-89.406860,-89.966607
-2334.595,-88.976225,-89.687413
-2316.284,-88.881100,-89.152024
-2297.974,-83.444486,-81.727372
-2279.663,-66.649073,-62.571418
-2261.352,-54.026553,-51.710613
-2243.042,-54.640817,-53.486566
-2224.731,-69.436916,-70.829574
-2206.421,-84.477190,-83.399099
-2188.110,-88.301442,-88.086747
-2169.800,-88.894979,-88.865632
-2151.489,-88.705402,-88.561179
-2133.179,-89.992911,-89.062700
-2114.868,-89.862926,-89.941466
-2096.558,-89.668640,-89.777676
-2078.247,-88.727117,-88.946648
-2059.936,-89.342189,-89.671697
-2041.626,-90.112186,-89.138802
-2023.315,-79.317707,-77.283197
-2005.005,-72.449959,-71.835126
-1986.694,-77.104277,-77.470009
-1968.384,-88.892053,-88.119651
-1950.073,-90.020652,-88.564911
-1931.763,-89.559803,-88.160348
-1913.452,-88.895294,-88.583733
-1895.142,-88.125199,-88.543481
-1876.831,-88.055309,-88.854204
-1858.520,-89.131004,-89.768767
-1840.210,-88.885748,-88.347439
-1821.899,-89.104956,-88.917001
-1803.589,-84.551974,-82.413608
-1785.278,-74.105182,-68.242354
-1766.968,-53.964314,-51.254269
-1748.657,-51.029173,-49.514727
-1730.347,-60.348144,-60.494770
-1712.036,-81.882737,-79.637473
-1693.725,-87.805866,-87.151321
-1675.415,-88.902097,-88.453334
-1657.104,-89.886279,-89.322742
-1638.794,-88.702076,-88.517541
-1620.483,-88.467556,-89.048515
-1602.173,-88.944586,-89.511431
-1583.862,-88.625403,-89.506584
-1565.552,-89.467658,-89.331943
-1547.241,-90.836089,-89.596909
-1528.931,-89.248670,-89.855612
-1510.620,-88.109012,-88.250539
-1492.309,-89.791024,-88.187896
-1473.999,-89.640043,-88.133761
-1455.688,-88.935577,-89.120929
-1437.378,-88.202920,-89.368449
-1419.067,-88.370925,-88.170562
-1400.757,-88.687268,-88.245898
-1382.446,-90.171411,-88.260318
-1364.136,-89.792362,-89.196855
-1345.825,-88.553861,-88.693345
-1327.515,-87.795218,-88.315257
-1309.204,-86.869391,-84.905888
-1290.893,-78.628462,-74.192564
-1272.583,-48.301387,-45.135885
-1254.272,-41.582342,-39.718142
-1235.962,-46.757791,-46.188816
-1217.651,-76.156117,-78.834618
-1199.341,-85.063221,-86.019950
-1181.030,-85.174620,-87.091714
-1162.720,-85.704220,-87.756083
-1144.409,-82.510195,-86.069116
-1126.099,-80.558879,-84.878565
-1107.788,-76.380524,-81.484603
-1089.477,-71.843848,-77.081997
-1071.167,-65.452371,-70.136904
-1052.856,-56.325196,-61.203877
-1034.546,-41.547690,-45.274142
-1016.235,-22.772279,-29.215913
-997.925,-20.307835,-27.929577
-979.614,-30.258348,-39.545686
-961.304,-51.908559,-58.806757
-942.993,-62.262350,-68.500898
-924.683,-69.492687,-75.638699
-906.372,-74.926676,-80.316791
-888.061,-78.857299,-84.384636
-869.751,-82.925562,-85.855720
-851.440,-84.430724,-87.264193
-833.130,-84.662061,-84.846570
-814.819,-81.090682,-80.888059
-796.509,-72.177749,-70.801009
-778.198,-52.620083,-48.790427
-759.888,-41.381405,-39.172999
-741.577,-42.894555,-41.876338
-723.267,-59.539156,-61.464693
-704.956,-74.890408,-75.538127
-686.645,-82.207130,-83.706072
-668.335,-86.199221,-86.270337
-650.024,-88.314080,-88.365672
-631.714,-89.137044,-87.584129
-613.403,-88.733870,-88.865471
-595.093,-89.047562,-88.960392
-576.782,-88.386144,-88.734758
-558.472,-88.156563,-89.554911
-540.161,-87.842757,-89.488464
-521.851,-88.512597,-88.353583
-503.540,-88.780526,-87.782446
-485.229,-88.927552,-88.883023
-466.919,-88.957563,-88.727839
-448.608,-88.879735,-89.745934
-430.298,-89.396936,-90.036103
-411.987,-88.757249,-90.099835
-393.677,-90.137596,-89.572125
-375.366,-90.486086,-88.851680
-357.056,-90.407577,-89.133198
-338.745,-89.005326,-88.341852
-320.434,-87.766527,-86.165925
-302.124,-81.606206,-79.443570
-283.813,-67.994679,-62.862786
-265.503,-50.412421,-47.809767
-247.192,-48.416769,-46.992921
-228.882,-58.985957,-59.328158
-210.571,-79.409257,-77.368937
-192.261,-84.541188,-85.219019
-173.950,-88.953914,-88.854989
-155.640,-89.712799,-89.516641
-137.329,-89.062712,-88.712097
-119.018,-88.766914,-89.198992
-100.708,-90.478864,-89.851352
-82.397,-90.624797,-89.408506
-64.087,-90.142186,-88.465948
-45.776,-88.029321,-86.910765
-27.466,-71.538841,-70.483967
-9.155,-61.282709,-61.634615
9.155,-63.269719,-64.794362
27.466,-80.316184,-84.375754
45.776,-89.711106,-89.732216
64.087,-90.921521,-89.925541
82.398,-89.695808,-88.971777
100.708,-89.829566,-89.972773
119.019,-90.169877,-90.230940
137.329,-90.805262,-90.233062
155.640,-90.821684,-89.968357
173.950,-90.163182,-88.830447
192.261,-88.160343,-86.308587
210.571,-82.983338,-75.420284
228.882,-53.535169,-50.525800
247.192,-47.865838,-46.089103
265.503,-54.069236,-53.620207
283.814,-86.083711,-80.825503
302.124,-89.661457,-88.473442
320.435,-89.162880,-88.898694
338.745,-90.111104,-89.145255
357.056,-89.613350,-89.547768
375.366,-87.788053,-89.430869
393.677,-88.139658,-88.851578
411.987,-89.547784,-89.641329
430.298,-89.672035,-89.652500
448.608,-89.928689,-89.859564
466.919,-88.821622,-89.572706
485.230,-88.785573,-88.042747
503.540,-90.706382,-87.614109
521.851,-89.238717,-88.335563
540.161,-88.895096,-88.937634
558.472,-88.462026,-88.360243
576.782,-89.352101,-89.304884
595.093,-89.031475,-88.311349
613.403,-89.690448,-87.682429
631.714,-87.802069,-87.562838
650.025,-88.426871,-88.424238
668.335,-86.293409,-87.454612
686.646,-82.642276,-80.946156
704.956,-72.422244,-72.368553
723.267,-51.066970,-47.388786
741.577,-41.117900,-38.970180
759.888,-43.560754,-42.630779
778.198,-62.421630,-65.202699
796.509,-76.580177,-78.277877
814.819,-83.770446,-83.670412
833.130,-87.587566,-85.144194
851.441,-86.753395,-84.025693
869.751,-86.896333,-81.098779
888.062,-84.332331,-79.430208
906.372,-83.251067,-73.561923
924.683,-76.633684,-67.880822
942.993,-68.851473,-59.176453
961.304,-55.521098,-45.261541
979.614,-27.248375,-22.126450
997.925,-22.063727,-18.187546
1016.235,-28.779175,-26.288194
1034.546,-61.307995,-52.511257
1052.857,-72.018505,-63.403527
1071.167,-78.829213,-70.727380
1089.478,-83.907584,-76.037402
1107.788,-85.972602,-80.616414
1126.099,-87.622005,-82.406388
1144.409,-86.693712,-84.987635
1162.720,-85.384481,-84.049271
1181.030,-83.507818,-80.428483
1199.341,-74.720663,-71.655623
1217.651,-59.283746,-54.558542
1235.962,-43.588949,-41.070172
1254.273,-42.504467,-41.165027
1272.583,-54.430766,-55.046625
1290.894,-73.300825,-71.864560
1309.204,-81.336409,-80.642024
1327.515,-87.330467,-85.581564
1345.825,-89.396399,-85.395791
1364.136,-89.737253,-88.364781
1382.446,-90.226747,-89.252341
1400.757,-90.415977,-88.592694
1419.067,-89.435781,-88.100710
1437.378,-88.950559,-88.408384
1455.689,-89.117747,-88.563953
1473.999,-89.613554,-87.998998
1492.310,-89.286841,-88.673678
1510.620,-89.508806,-89.112953
1528.931,-88.975104,-89.346087
1547.241,-88.519631,-89.149731
1565.552,-89.875064,-89.867552
1583.862,-88.775732,-89.469590
1602.173,-88.511553,-88.060572
1620.483,-89.253263,-88.797795
1638.794,-88.889155,-89.766697
1657.105,-90.376247,-89.471315
1675.415,-90.310858,-90.663557
1693.726,-88.535876,-85.631891
1712.036,-81.030468,-73.941771
1730.347,-55.477708,-52.522184
1748.657,-50.770562,-49.062447
1766.968,-57.996835,-57.735272
1785.278,-85.313758,-81.290001
1803.589,-88.809503,-88.719799
1821.899,-89.071019,-89.208679
1840.210,-89.643348,-89.256520
1858.521,-90.281930,-89.547526
1876.831,-89.895339,-89.427111
1895.142,-90.445956,-89.850776
1913.452,-90.693979,-90.299879
1931.763,-89.852714,-88.343703
1950.073,-89.991300,-88.131003
1968.384,-86.713362,-84.192150
1986.694,-74.457044,-73.201169
2005.005,-74.004841,-73.713501
2023.316,-84.825498,-85.184319
2041.626,-88.219156,-89.335549
2059.937,-88.312112,-89.288873
2078.247,-89.412627,-88.881947
2096.558,-90.337579,-89.776432
2114.868,-89.266816,-89.650190
2133.179,-90.136791,-89.979123
2151.489,-88.657926,-88.824999
2169.800,-88.817231,-88.562270
2188.110,-89.428054,-89.554205
2206.421,-84.085986,-84.916200
2224.732,-61.974565,-58.435444
2243.042,-53.175610,-51.110952
2261.353,-56.559676,-55.732066
2279.663,-78.178948,-81.389611
2297.974,-87.732245,-88.625001
2316.284,-89.680378,-90.364905
