repeat,frequency_hz,s21_db
1,216986000,-24.018215013
1,217066000,-23.934348735
1,217146000,-23.841315900
1,217226000,-23.720658926
1,217306000,-23.642087462
1,217386000,-23.535704441
1,217466000,-23.460069244
1,217546000,-23.356882587
1,217626000,-23.247693615
1,217706000,-23.148592647
1,217786000,-23.053540491
1,217866000,-22.958107638
1,217946000,-22.858715260
1,218026000,-22.770115960
1,218106000,-22.661295757
1,218186000,-22.565355146
1,218266000,-22.478358388
1,218346000,-22.372340082
1,218426000,-22.274877862
1,218506000,-22.189854319
1,218586000,-22.096640705
1,218666000,-22.000205386
1,218746000,-21.914533803
1,218826000,-21.817638304
1,218906000,-21.724938734
1,218986000,-21.637236340
1,219066000,-21.563084679
1,219146000,-21.480585517
1,219226000,-21.394940054
1,219306000,-21.302482154
1,219386000,-21.233523037
1,219466000,-21.153070133
1,219546000,-21.096075245
1,219626000,-21.019945392
1,219706000,-20.957524895
1,219786000,-20.895296319
1,219866000,-20.833785458
1,219946000,-20.767630665
1,220026000,-20.721974862
1,220106000,-20.680007580
1,220186000,-20.638805462
1,220266000,-20.597925497
1,220346000,-20.562494999
1,220426000,-20.536674564
1,220506000,-20.516435502
1,220586000,-20.491714796
1,220666000,-20.475851672
1,220746000,-20.473728645
1,220826000,-20.471901215
1,220906000,-20.475990573
1,220986000,-20.498696444
1,221066000,-20.496334475
1,221146000,-20.519520997
1,221226000,-20.546197422
1,221306000,-20.580781461
1,221386000,-20.620424675
1,221466000,-20.661535702
1,221546000,-20.718199940
1,221626000,-20.774285357
1,221706000,-20.831516304
1,221786000,-20.893219185
1,221866000,-20.964857413
1,221946000,-21.036511734
1,222026000,-21.125332757
1,222106000,-21.204880463
1,222186000,-21.287074779
1,222266000,-21.380482714
1,222346000,-21.480489841
1,222426000,-21.581410436
1,222506000,-21.679196487
1,222586000,-21.792408785
1,222666000,-21.890610832
1,222746000,-22.003494610
1,222826000,-22.125708685
1,222906000,-22.227456621
1,222986000,-22.340302871
1,223066000,-22.461460545
1,223146000,-22.587294903
1,223226000,-22.715153933
1,223306000,-22.825905775
1,223386000,-22.952954480
1,223466000,-23.088167286
1,223546000,-23.205312662
1,223626000,-23.336226219
1,223706000,-23.442503339
1,223786000,-23.580889824
1,223866000,-23.711328531
1,223946000,-23.834654018
1,224026000,-23.953564525
1,224106000,-24.095661878
1,224186000,-24.215091484
1,224266000,-24.347037489
1,224346000,-24.478600887
1,224426000,-24.601203855
1,224506000,-24.734349266
1,224586000,-24.863040738
1,224666000,-24.987882346
1,224746000,-25.117939464
1,224826000,-25.253091435
1,224906000,-25.354555995
1,224986000,-25.481301894
2,216986000,-24.019362338
2,217066000,-23.925170845
2,217146000,-23.836973246
2,217226000,-23.738161053
2,217306000,-23.634630716
2,217386000,-23.547588543
2,217466000,-23.445897839
2,217546000,-23.349121077
2,217626000,-23.252201794
2,217706000,-23.158368284
2,217786000,-23.061967591
2,217866000,-22.962932400
2,217946000,-22.866460677
2,218026000,-22.772242369
2,218106000,-22.671681146
2,218186000,-22.567563685
2,218266000,-22.482378202
2,218346000,-22.371841165
2,218426000,-22.276582988
2,218506000,-22.184314497
2,218586000,-22.104802992
2,218666000,-22.006970299
2,218746000,-21.916650812
2,218826000,-21.813229348
2,218906000,-21.728757622
2,218986000,-21.641388014
2,219066000,-21.555070327
2,219146000,-21.469847880
2,219226000,-21.386511522
2,219306000,-21.299334584
2,219386000,-21.234163083
2,219466000,-21.158009166
2,219546000,-21.080057461
2,219626000,-21.011582027
2,219706000,-20.944904865
2,219786000,-20.876960357
2,219866000,-20.835016931
2,219946000,-20.773009499
2,220026000,-20.724681860
2,220106000,-20.676623848
2,220186000,-20.641018841
2,220266000,-20.592702299
2,220346000,-20.567215566
2,220426000,-20.529742999
2,220506000,-20.511576009
2,220586000,-20.499112768
2,220666000,-20.484435756
2,220746000,-20.475974086
2,220826000,-20.465637803
2,220906000,-20.476687542
2,220986000,-20.483241575
2,221066000,-20.501890290
2,221146000,-20.523041332
2,221226000,-20.556522149
2,221306000,-20.590758376
2,221386000,-20.617402417
2,221466000,-20.666181918
2,221546000,-20.711965211
2,221626000,-20.775678440
2,221706000,-20.824885859
2,221786000,-20.895087082
2,221866000,-20.967632432
2,221946000,-21.037795386
2,222026000,-21.119794610
2,222106000,-21.192614624
2,222186000,-21.293937906
2,222266000,-21.382277592
2,222346000,-21.479013019
2,222426000,-21.574179521
2,222506000,-21.678535857
2,222586000,-21.782028953
2,222666000,-21.889942950
2,222746000,-22.002298745
2,222826000,-22.118627649
2,222906000,-22.233938021
2,222986000,-22.340630754
2,223066000,-22.462028998
2,223146000,-22.582158594
2,223226000,-22.699464140
2,223306000,-22.830565266
2,223386000,-22.945562326
2,223466000,-23.082748960
2,223546000,-23.201680047
2,223626000,-23.334129376
2,223706000,-23.457830322
2,223786000,-23.576808515
2,223866000,-23.719043496
2,223946000,-23.832500678
2,224026000,-23.958948742
2,224106000,-24.069930435
2,224186000,-24.219980035
2,224266000,-24.348693047
2,224346000,-24.464885201
2,224426000,-24.603054947
2,224506000,-24.735080733
2,224586000,-24.858483904
2,224666000,-24.968659503
2,224746000,-25.106391354
2,224826000,-25.245823922
2,224906000,-25.361910234
2,224986000,-25.484601380
3,216986000,-24.015604572
3,217066000,-23.923079154
3,217146000,-23.839683424
3,217226000,-23.729299547
3,217306000,-23.640418300
3,217386000,-23.542417378
3,217466000,-23.437899951
3,217546000,-23.333042949
3,217626000,-23.256343158
3,217706000,-23.156967435
3,217786000,-23.059849350
3,217866000,-22.975761174
3,217946000,-22.861366806
3,218026000,-22.770549256
3,218106000,-22.663628028
3,218186000,-22.572101965
3,218266000,-22.467823555
3,218346000,-22.379734316
3,218426000,-22.290606947
3,218506000,-22.183774145
3,218586000,-22.092588987
3,218666000,-22.003949749
3,218746000,-21.911248758
3,218826000,-21.815686525
3,218906000,-21.719258932
3,218986000,-21.636479397
3,219066000,-21.551473709
3,219146000,-21.475943916
3,219226000,-21.391666601
3,219306000,-21.313736702
3,219386000,-21.229241308
3,219466000,-21.159252129
3,219546000,-21.092156923
3,219626000,-21.009239830
3,219706000,-20.947341736
3,219786000,-20.894462901
3,219866000,-20.825781575
3,219946000,-20.774300724
3,220026000,-20.719811232
3,220106000,-20.677600267
3,220186000,-20.630440819
3,220266000,-20.586314371
3,220346000,-20.566140660
3,220426000,-20.524555454
3,220506000,-20.500679256
3,220586000,-20.489851971
3,220666000,-20.476932187
3,220746000,-20.473578375
3,220826000,-20.469954008
3,220906000,-20.471200891
3,220986000,-20.520196859
3,221066000,-20.500066947
3,221146000,-20.513508081
3,221226000,-20.552943135
3,221306000,-20.574255969
3,221386000,-20.624741217
3,221466000,-20.666881724
3,221546000,-20.712220395
3,221626000,-20.770296567
3,221706000,-20.825516866
3,221786000,-20.888594397
3,221866000,-20.961268162
3,221946000,-21.045217524
3,222026000,-21.127505121
3,222106000,-21.209851722
3,222186000,-21.287795955
3,222266000,-21.383830412
3,222346000,-21.475902890
3,222426000,-21.575121942
3,222506000,-21.673884338
3,222586000,-21.786464372
3,222666000,-21.891677284
3,222746000,-22.005922701
3,222826000,-22.107259191
3,222906000,-22.229190853
3,222986000,-22.340996337
3,223066000,-22.468092183
3,223146000,-22.589682068
3,223226000,-22.711090722
3,223306000,-22.830573194
3,223386000,-22.948392682
3,223466000,-23.075010181
3,223546000,-23.189496635
3,223626000,-23.333862646
3,223706000,-23.456878579
3,223786000,-23.586844446
3,223866000,-23.698545857
3,223946000,-23.828044903
3,224026000,-23.971857240
3,224106000,-24.095781372
3,224186000,-24.212637819
3,224266000,-24.346800235
3,224346000,-24.476933275
3,224426000,-24.616562552
3,224506000,-24.732451835
3,224586000,-24.855856512
3,224666000,-24.981662236
3,224746000,-25.112297139
3,224826000,-25.241443951
3,224906000,-25.350880028
3,224986000,-25.486194436
4,216986000,-24.018171590
4,217066000,-23.924290046
4,217146000,-23.816876434
4,217226000,-23.738566102
4,217306000,-23.637280899
4,217386000,-23.556246409
4,217466000,-23.433122454
4,217546000,-23.356957976
4,217626000,-23.260108976
4,217706000,-23.163139347
4,217786000,-23.052692118
4,217866000,-22.957507287
4,217946000,-22.862443056
4,218026000,-22.765248024
4,218106000,-22.668505086
4,218186000,-22.572618628
4,218266000,-22.468745948
4,218346000,-22.374537232
4,218426000,-22.289682760
4,218506000,-22.187421553
4,218586000,-22.084834316
4,218666000,-22.006414693
4,218746000,-21.907094348
4,218826000,-21.823094383
4,218906000,-21.728396993
4,218986000,-21.646572648
4,219066000,-21.555964994
4,219146000,-21.480318813
4,219226000,-21.389477629
4,219306000,-21.313239681
4,219386000,-21.222387209
4,219466000,-21.151665364
4,219546000,-21.082224425
4,219626000,-21.027144551
4,219706000,-20.951832635
4,219786000,-20.888663838
4,219866000,-20.830625438
4,219946000,-20.767830541
4,220026000,-20.725915428
4,220106000,-20.680695983
4,220186000,-20.635709575
4,220266000,-20.603562801
4,220346000,-20.562235175
4,220426000,-20.541200420
4,220506000,-20.503495244
4,220586000,-20.489151477
4,220666000,-20.480551980
4,220746000,-20.478623664
4,220826000,-20.483042239
4,220906000,-20.478162823
4,220986000,-20.452234127
4,221066000,-20.500419401
4,221146000,-20.524770208
4,221226000,-20.539112250
4,221306000,-20.581792673
4,221386000,-20.623351309
4,221466000,-20.672943632
4,221546000,-20.714086736
4,221626000,-20.759965142
4,221706000,-20.825028050
4,221786000,-20.899128995
4,221866000,-20.967536387
4,221946000,-21.046914848
4,222026000,-21.122527674
4,222106000,-21.202091698
4,222186000,-21.293673528
4,222266000,-21.383699206
4,222346000,-21.479167511
4,222426000,-21.578786305
4,222506000,-21.674859417
4,222586000,-21.787472945
4,222666000,-21.898505787
4,222746000,-22.004452568
4,222826000,-22.114952352
4,222906000,-22.225725116
4,222986000,-22.348630490
4,223066000,-22.465520809
4,223146000,-22.585422083
4,223226000,-22.704070834
4,223306000,-22.832741058
4,223386000,-22.959139285
4,223466000,-23.078265271
4,223546000,-23.191051169
4,223626000,-23.328863258
4,223706000,-23.456372078
4,223786000,-23.583179539
4,223866000,-23.705865977
4,223946000,-23.835593871
4,224026000,-23.966221021
4,224106000,-24.094963294
4,224186000,-24.213161114
4,224266000,-24.352564677
4,224346000,-24.464950207
4,224426000,-24.601736767
4,224506000,-24.733308021
4,224586000,-24.848526811
4,224666000,-24.986868839
4,224746000,-25.127819752
4,224826000,-25.239071162
4,224906000,-25.367937592
4,224986000,-25.490268398
5,216986000,-24.015698192
5,217066000,-23.924831938
5,217146000,-23.839220724
5,217226000,-23.737884327
5,217306000,-23.639130745
5,217386000,-23.543845090
5,217466000,-23.446841448
5,217546000,-23.348041408
5,217626000,-23.248099716
5,217706000,-23.151422160
5,217786000,-23.054719881
5,217866000,-22.964775773
5,217946000,-22.864651272
5,218026000,-22.770126229
5,218106000,-22.652715069
5,218186000,-22.565574906
5,218266000,-22.467460308
5,218346000,-22.374059943
5,218426000,-22.283590992
5,218506000,-22.181011601
5,218586000,-22.088541439
5,218666000,-21.996169877
5,218746000,-21.912324135
5,218826000,-21.819845116
5,218906000,-21.737678315
5,218986000,-21.636513766
5,219066000,-21.561664554
5,219146000,-21.475231350
5,219226000,-21.387179129
5,219306000,-21.312173927
5,219386000,-21.230159619
5,219466000,-21.156354029
5,219546000,-21.082672985
5,219626000,-21.015281292
5,219706000,-20.946883493
5,219786000,-20.887787417
5,219866000,-20.837494198
5,219946000,-20.774063241
5,220026000,-20.720644745
5,220106000,-20.680247177
5,220186000,-20.632215081
5,220266000,-20.603637975
5,220346000,-20.558194182
5,220426000,-20.538914209
5,220506000,-20.509803436
5,220586000,-20.492929721
5,220666000,-20.466824615
5,220746000,-20.476803154
5,220826000,-20.468609561
5,220906000,-20.471958862
5,220986000,-20.521676048
5,221066000,-20.501413590
5,221146000,-20.523935596
5,221226000,-20.547855420
5,221306000,-20.584013256
5,221386000,-20.625361668
5,221466000,-20.675321929
5,221546000,-20.711849976
5,221626000,-20.770770741
5,221706000,-20.827050478
5,221786000,-20.892361784
5,221866000,-20.955758074
5,221946000,-21.031529121
5,222026000,-21.116458606
5,222106000,-21.208078517
5,222186000,-21.288842355
5,222266000,-21.380737036
5,222346000,-21.472296667
5,222426000,-21.577764658
5,222506000,-21.676410423
5,222586000,-21.791065346
5,222666000,-21.890539622
5,222746000,-21.994387513
5,222826000,-22.114726364
5,222906000,-22.223619574
5,222986000,-22.347919554
5,223066000,-22.459254601
