view,offset_hz,tx_on_receiver_db_per_hz,rf_off_receiver_db_per_hz
target,-64993.286,-90.225295,-105.055352
target,-64984.131,-90.750848,-105.587626
target,-64974.976,-90.493566,-105.223643
target,-64965.820,-90.031717,-104.696543
target,-64956.665,-89.174624,-104.856473
target,-64947.510,-90.363356,-104.633657
target,-64938.354,-89.198569,-103.334894
target,-64929.199,-89.838124,-103.163961
target,-64920.044,-91.701224,-103.256287
target,-64910.889,-90.609229,-103.387953
target,-64901.733,-90.114352,-104.529478
target,-64892.578,-89.639362,-104.258667
target,-64883.423,-89.282439,-102.785955
target,-64874.268,-89.266990,-103.006861
target,-64865.112,-89.524799,-103.499452
target,-64855.957,-90.186086,-104.423824
target,-64846.802,-88.981470,-104.332812
target,-64837.646,-88.151119,-103.912893
target,-64828.491,-89.717457,-104.089799
target,-64819.336,-90.469150,-105.352459
target,-64810.181,-90.384717,-103.472711
target,-64801.025,-90.217906,-103.033772
target,-64791.870,-89.806416,-103.953038
target,-64782.715,-89.193788,-104.155973
target,-64773.560,-88.884915,-104.010151
target,-64764.404,-88.899130,-103.906643
target,-64755.249,-89.055132,-102.774127
target,-64746.094,-88.874748,-104.256690
target,-64736.938,-88.339658,-103.934258
target,-64727.783,-89.080647,-104.140861
target,-64718.628,-89.596746,-103.983813
target,-64709.473,-89.613297,-104.084218
target,-64700.317,-90.447164,-104.012448
target,-64691.162,-89.624409,-104.104923
target,-64682.007,-89.299116,-104.813831
target,-64672.852,-89.711079,-103.591722
target,-64663.696,-88.989590,-104.138707
target,-64654.541,-87.262475,-103.967835
target,-64645.386,-86.058156,-103.237677
target,-64636.230,-87.972455,-104.070494
target,-64627.075,-88.791248,-104.502533
target,-64617.920,-87.631726,-104.060112
target,-64608.765,-87.388030,-103.827542
target,-64599.609,-86.850103,-104.101145
target,-64590.454,-87.839056,-103.534470
target,-64581.299,-88.571431,-103.302030
target,-64572.144,-88.909187,-103.353492
target,-64562.988,-89.624734,-103.164754
target,-64553.833,-88.298958,-102.866058
target,-64544.678,-88.896224,-103.038404
target,-64535.522,-89.310956,-103.434902
target,-64526.367,-89.581770,-103.077206
target,-64517.212,-89.910650,-103.070414
target,-64508.057,-89.659543,-102.928590
target,-64498.901,-89.553142,-103.338895
target,-64489.746,-89.353299,-103.391091
target,-64480.591,-89.338553,-103.109426
target,-64471.436,-90.140076,-104.409558
target,-64462.280,-88.818647,-105.895427
target,-64453.125,-88.614991,-104.762335
target,-64443.970,-88.851279,-103.990073
target,-64434.814,-89.591475,-104.264919
target,-64425.659,-90.418329,-104.705129
target,-64416.504,-90.071338,-104.721525
target,-64407.349,-88.503008,-104.592773
target,-64398.193,-87.626781,-104.064752
target,-64389.038,-87.342323,-103.527116
target,-64379.883,-87.802663,-102.911088
target,-64370.728,-87.969657,-104.553562
target,-64361.572,-87.758609,-105.629431
target,-64352.417,-89.368151,-105.064036
target,-64343.262,-90.329360,-103.630995
target,-64334.106,-90.516332,-103.153778
target,-64324.951,-89.604639,-103.388804
target,-64315.796,-89.435867,-104.864968
target,-64306.641,-89.446628,-103.461488
target,-64297.485,-89.247493,-104.564425
target,-64288.330,-88.672717,-105.150352
target,-64279.175,-89.198479,-105.014727
target,-64270.020,-89.104263,-104.732453
target,-64260.864,-88.718319,-103.688869
target,-64251.709,-89.237229,-103.732328
target,-64242.554,-89.801429,-105.897490
target,-64233.398,-90.917148,-105.536275
target,-64224.243,-89.309899,-104.193054
