capture_role,frequency_hz,tx_on_dbfs_per_hz,same_capture_rf_off_dbfs_per_hz,positive_tx_on_minus_off_dbfs_per_hz
physical37_wanted_223p1_223p9,223100000.000000000,-91.8827980452,-104.888962721,-92.1057797478
physical37_wanted_223p1_223p9,223100073.242187500,-92.0167819322,-104.694542114,-92.2577736747
physical37_wanted_223p1_223p9,223100146.484375000,-92.7592045008,-104.647746119,-93.0498623061
physical37_wanted_223p1_223p9,223100219.726562500,-92.7795498714,-104.553774088,-93.0782328342
physical37_wanted_223p1_223p9,223100292.968750000,-92.8073689274,-104.870427496,-93.0862028183
physical37_wanted_223p1_223p9,223100366.210937500,-92.4186901264,-104.712770646,-92.682630886
physical37_wanted_223p1_223p9,223100439.453125000,-92.4840053626,-104.501740898,-92.7658614014
physical37_wanted_223p1_223p9,223100512.695312500,-92.3906789538,-104.447625858,-92.669918412
physical37_wanted_223p1_223p9,223100585.937500000,-92.142255834,-104.409444387,-92.407887184
physical37_wanted_223p1_223p9,223100659.179687500,-91.8799501245,-104.457528905,-92.1267283976
physical37_wanted_223p1_223p9,223100732.421875000,-92.1557684396,-104.510115831,-92.4159606141
physical37_wanted_223p1_223p9,223100805.664062500,-92.2709639861,-104.467740648,-92.54107494
physical37_wanted_223p1_223p9,223100878.906250000,-92.222282084,-104.535897269,-92.4850017343
physical37_wanted_223p1_223p9,223100952.148437500,-92.234361387,-104.848009435,-92.4790399948
physical37_wanted_223p1_223p9,223101025.390625000,-92.6124056292,-104.835102167,-92.8808585695
physical37_wanted_223p1_223p9,223101098.632812500,-92.6146806284,-104.432522461,-92.9102749014
physical37_wanted_223p1_223p9,223101171.875000000,-92.5743593172,-104.176883574,-92.8855291487
physical37_wanted_223p1_223p9,223101245.117187500,-92.3063531506,-104.289233268,-92.5905563545
physical37_wanted_223p1_223p9,223101318.359375000,-92.6653063818,-104.310147687,-92.9733493461
physical37_wanted_223p1_223p9,223101391.601562500,-92.199976419,-104.26904183,-92.4784122911
physical37_wanted_223p1_223p9,223101464.843750000,-92.2232688053,-104.331398442,-92.4991305158
physical37_wanted_223p1_223p9,223101538.085937500,-92.4768860461,-104.519168776,-92.7571010982
physical37_wanted_223p1_223p9,223101611.328125000,-92.5529867935,-104.278874902,-92.8551316178
physical37_wanted_223p1_223p9,223101684.570312500,-92.6244603497,-104.643443748,-92.9062327296
physical37_wanted_223p1_223p9,223101757.812500000,-92.2340048304,-104.292617015,-92.5131337209
physical37_wanted_223p1_223p9,223101831.054687500,-92.3503078806,-104.469631643,-92.6254364845
physical37_wanted_223p1_223p9,223101904.296875000,-92.3939679922,-104.656693868,-92.659880971
physical37_wanted_223p1_223p9,223101977.539062500,-92.9743345004,-104.702915387,-93.2762853782
