physical,role,frequency_hz,tx_on_dbfs_per_hz,same_capture_rf_off_dbfs_per_hz,signed_on_minus_off_linear_per_hz,positive_on_minus_off_dbfs_per_hz,in_mandatory_222p5_223p0_baseline
136,desired,222500000.000000,-100.800953737,-110.306401707,7.38393165563e-11,-101.317123317,0
136,desired,222500097.656250,-100.857150097,-110.23716825,7.26204613342e-11,-101.389409965,0
136,desired,222500195.312500,-101.045620949,-110.113166225,6.88599889713e-11,-101.620330512,0
136,desired,222500292.968750,-100.835473325,-109.862423973,7.21779052319e-11,-101.415957263,0
136,desired,222500390.625000,-101.175581479,-109.940354514,6.61471883032e-11,-101.794886115,0
136,desired,222500488.281250,-101.337637381,-110.028715799,6.35572586689e-11,-101.968348429,0
136,desired,222500585.937500,-101.669444523,-109.964026414,5.80024674423e-11,-102.36553531,0
136,desired,222500683.593750,-101.360123125,-110.394094651,6.39793176001e-11,-101.939603964,0
136,desired,222500781.250000,-101.382873681,-110.423411584,6.36587631983e-11,-101.961418034,0
136,desired,222500878.906250,-101.153441718,-110.185355147,6.70931772527e-11,-101.733216413,0
136,desired,222500976.562500,-100.606776841,-109.88856512,7.67006491083e-11,-101.152009607,0
136,desired,222501074.218750,-100.733704991,-110.239004047,7.49912622051e-11,-101.249893366,0
136,desired,222501171.875000,-100.703245349,-110.443830834,7.60216973378e-11,-101.190624381,0
136,desired,222501269.531250,-101.063030924,-110.44301065,6.92580755547e-11,-101.595295802,0
136,desired,222501367.187500,-101.226603886,-110.242053359,6.59365917896e-11,-101.80873505,0
136,desired,222501464.843750,-100.824578394,-110.023981384,7.2762046523e-11,-101.380950944,0
136,desired,222501562.500000,-101.480648558,-110.016921018,6.11496174644e-11,-102.136062554,0
136,desired,222501660.156250,-101.775411438,-110.290694219,5.70919106122e-11,-102.434254228,0
136,desired,222501757.812500,-101.268367374,-110.497968346,6.57562623853e-11,-101.820628803,0
136,desired,222501855.468750,-101.365507414,-110.286850813,6.36604071665e-11,-101.96130588,0
136,desired,222501953.125000,-101.173754335,-110.385516763,6.7167002061e-11,-101.728440356,0
136,desired,222502050.781250,-100.803331363,-110.30121578,7.37826682896e-11,-101.320456429,0
136,desired,222502148.437500,-100.179374016,-110.193869042,8.63904757205e-11,-100.635341345,0
136,desired,222502246.093750,-100.544929174,-110.150836569,7.85491706231e-11,-101.048583962,0
136,desired,222502343.750000,-100.762154925,-109.798688865,7.34299085973e-11,-101.341270124,0
136,desired,222502441.406250,-100.736540685,-110.131145724,7.46981375635e-11,-101.266902262,0
136,desired,222502539.062500,-100.846817243,-109.932715941,7.21284120843e-11,-101.418936288,0
136,desired,222502636.718750,-100.891321717,-110.055272534,7.15721010018e-11,-101.452562339,0
136,desired,222502734.375000,-100.673620383,-109.951815588,7.55208030944e-11,-101.219334004,0
136,desired,222502832.031250,-101.199521851,-109.985076613,6.58316882642e-11,-101.815650072,0
136,desired,222502929.687500,-101.471794035,-110.208613593,6.1724857961e-11,-102.095399008,0
136,desired,222503027.343750,-101.350598137,-110.111714399,6.35263127865e-11,-101.970463514,0
136,desired,222503125.000000,-101.133019985,-110.108093478,6.72825812181e-11,-101.720973557,0
136,desired,222503222.656250,-101.238065188,-110.193471772,6.5631490263e-11,-101.828877343,0
136,desired,222503320.312500,-100.857918228,-110.190754939,7.25042101074e-11,-101.396367745,0
136,desired,222503417.968750,-100.924847483,-110.177616119,7.12200570976e-11,-101.473976825,0
136,desired,222503515.625000,-101.09488999,-110.287722574,6.83571371872e-11,-101.652161339,0
136,desired,222503613.281250,-100.91344587,-110.203594134,7.14897605369e-11,-101.457561577,0
136,desired,222503710.937500,-101.482774968,-110.175332922,6.14716002707e-11,-102.113254809,0
136,desired,222503808.593750,-100.741743012,-110.268464184,7.48990790013e-11,-101.255235226,0
136,desired,222503906.250000,-100.695366445,-110.341065986,7.59599491909e-11,-101.194153344,0
136,desired,222504003.906250,-101.104803948,-110.252974224,6.81047489066e-11,-101.668226039,0
136,desired,222504101.562500,-101.409099665,-109.966443328,6.22143992634e-11,-102.06109088,0
136,desired,222504199.218750,-101.139228413,-109.998777107,6.69238937381e-11,-101.74418799,0
136,desired,222504296.875000,-100.738638222,-110.205440628,7.48219539296e-11,-101.259709547,0
136,desired,222504394.531250,-101.092979692,-110.205460809,6.82123670182e-11,-101.661368799,0
136,desired,222504492.187500,-101.174005039,-110.040862144,6.64068176491e-11,-101.777873315,0
136,desired,222504589.843750,-101.041151528,-110.424915437,6.96157770842e-11,-101.572923247,0
136,desired,222504687.500000,-101.199445726,-110.416730471,6.67823972874e-11,-101.753379951,0
