repeat,frequency_mhz,s21_db
1,216.986000,-24.018215013094
1,217.066000,-23.934348734501
1,217.146000,-23.841315900417
1,217.226000,-23.720658926147
1,217.306000,-23.642087462308
1,217.386000,-23.535704441104
1,217.466000,-23.460069243930
1,217.546000,-23.356882586697
1,217.626000,-23.247693614951
1,217.706000,-23.148592647206
1,217.786000,-23.053540490647
1,217.866000,-22.958107637819
1,217.946000,-22.858715259587
1,218.026000,-22.770115959553
1,218.106000,-22.661295757156
1,218.186000,-22.565355145935
1,218.266000,-22.478358387778
1,218.346000,-22.372340081524
1,218.426000,-22.274877862123
1,218.506000,-22.189854318731
1,218.586000,-22.096640704593
1,218.666000,-22.000205386469
1,218.746000,-21.914533802595
1,218.826000,-21.817638304099
1,218.906000,-21.724938734034
1,218.986000,-21.637236339540
1,219.066000,-21.563084678958
1,219.146000,-21.480585517496
1,219.226000,-21.394940053882
1,219.306000,-21.302482153868
1,219.386000,-21.233523037485
1,219.466000,-21.153070132719
1,219.546000,-21.096075245117
1,219.626000,-21.019945391685
1,219.706000,-20.957524894649
1,219.786000,-20.895296318931
1,219.866000,-20.833785457884
1,219.946000,-20.767630665188
1,220.026000,-20.721974861907
1,220.106000,-20.680007580307
1,220.186000,-20.638805462214
1,220.266000,-20.597925496772
1,220.346000,-20.562494999233
1,220.426000,-20.536674564278
1,220.506000,-20.516435501663
1,220.586000,-20.491714795810
1,220.666000,-20.475851672030
1,220.746000,-20.473728644506
1,220.826000,-20.471901215146
1,220.906000,-20.475990572939
1,220.986000,-20.498696443532
1,221.066000,-20.496334474628
1,221.146000,-20.519520997472
1,221.226000,-20.546197422217
1,221.306000,-20.580781461393
1,221.386000,-20.620424674819
1,221.466000,-20.661535701652
1,221.546000,-20.718199940427
1,221.626000,-20.774285356981
1,221.706000,-20.831516303848
1,221.786000,-20.893219184658
1,221.866000,-20.964857412565
1,221.946000,-21.036511733991
1,222.026000,-21.125332757176
1,222.106000,-21.204880463214
