frequency_hz,mean_power_per_hz,peak_power_per_hz,group_start_hz,group_end_hz
24902.34375,2.55094639033e-08,8.89388586072e-07,0,49804.6875
74901.5808105,4.13927978582e-09,4.1446338588e-08,50193.7866211,99609.375
124706.268311,2.95962965688e-09,3.38581649034e-08,99998.4741211,149414.0625
174510.955811,8.80117411249e-09,2.74146283979e-07,149803.161621,199218.75
224315.643311,6.44325646914e-09,1.81454452142e-07,199607.849121,249023.4375
274120.330811,1.12200726943e-08,1.25982581984e-07,249412.536621,298828.125
323925.018311,4.37909695805e-09,2.78917055033e-08,299217.224121,348632.8125
373729.705811,7.39018939585e-09,1.82419578057e-07,349021.911621,398437.5
423534.393311,5.78098987657e-09,1.57461204527e-07,398826.599121,448242.1875
473339.080811,2.4001487532e-09,1.21705954125e-08,448631.286621,498046.875
523143.768311,2.41147469943e-09,1.34972757195e-08,498435.974121,547851.5625
572948.455811,7.43655123007e-09,2.42427503193e-07,548240.661621,597656.25
622753.143311,4.39694862747e-09,1.29438349917e-07,598045.349121,647460.9375
672557.830811,2.01545626041e-09,1.00937602413e-08,647850.036621,697265.625
722362.518311,7.79187797063e-09,4.57452593985e-07,697654.724121,747070.3125
772167.205811,1.12947875188e-08,1.75567722141e-07,747459.411621,796875
821971.893311,7.99695814126e-09,1.54416360321e-07,797264.099121,846679.6875
871776.580811,3.19547928775e-09,1.68991812019e-08,847068.786621,896484.375
921581.268311,2.33710019593e-09,1.11981275473e-08,896873.474121,946289.0625
971385.955811,3.99292889761e-09,1.16417519573e-07,946678.161621,996093.75
1021190.64331,3.36739265646e-09,6.8087228144e-08,996482.849121,1045898.4375
1070995.33081,2.27149384736e-09,1.66108680012e-08,1046287.53662,1095703.125
1120800.01831,2.60469907386e-09,1.38171488639e-08,1096092.22412,1145507.8125
1170604.70581,7.51945776179e-09,1.87453191363e-07,1145896.91162,1195312.5
1220409.39331,7.36011988737e-09,8.82461276511e-08,1195701.59912,1245117.1875
1270214.08081,7.34541624318e-09,3.73454041842e-08,1245506.28662,1294921.875
1320018.76831,7.70147633775e-09,4.05771812291e-08,1295310.97412,1344726.5625
1369823.45581,8.35210752713e-09,1.53832864881e-07,1345115.66162,1394531.25
1419628.14331,5.3672406024e-09,8.77180623158e-08,1394920.34912,1444335.9375
1469432.83081,5.94262395505e-09,1.24925691514e-07,1444725.03662,1494140.625
1519237.51831,3.72811397986e-09,1.70236072092e-08,1494529.72412,1543945.3125
1569042.20581,5.7203340204e-09,9.05167556633e-08,1544334.41162,1593750
1618846.89331,4.32375786557e-09,9.33414450638e-08,1594139.09912,1643554.6875
1668651.58081,2.67597513534e-09,1.67747446165e-08,1643943.78662,1693359.375
1718456.26831,2.39233847312e-09,1.07035759303e-08,1693748.47412,1743164.0625
1768260.95581,7.16611120629e-09,2.52362615999e-07,1743553.16162,1792968.75
1818065.64331,3.02974965819e-09,5.36091375132e-08,1793357.84912,1842773.4375
1867870.33081,2.12563190238e-09,1.26385318579e-08,1843162.53662,1892578.125
1917675.01831,1.84833008888e-09,1.12925055175e-08,1892967.22412,1942382.8125
1967479.70581,2.87718837603e-09,6.51622481053e-08,1942771.91162,1992187.5
2017284.39331,3.44570994896e-09,2.65338651533e-08,1992576.59912,2041992.1875
2067089.08081,2.3107918883e-09,1.396685184e-08,2042381.28662,2091796.875
2116893.76831,2.18551121949e-09,9.23370434928e-09,2092185.97412,2141601.5625
2166698.45581,3.25156389111e-09,4.50569506069e-08,2141990.66162,2191406.25
2216503.14331,3.65477446098e-09,6.19775755814e-08,2191795.34912,2241210.9375
2266307.83081,3.26830626586e-09,2.62252783183e-08,2241600.03662,2291015.625
2316112.51831,3.39969837181e-09,1.49573526045e-08,2291404.72412,2340820.3125
2365917.20581,3.60243839021e-09,4.78223836806e-08,2341209.41162,2390625
2415721.89331,3.47074371507e-09,3.2060089399e-08,2391014.09912,2440429.6875
2465526.58081,3.02516375296e-09,2.06344001781e-08,2440818.78662,2490234.375
2515331.26831,2.42075223983e-09,1.13645685199e-08,2490623.47412,2540039.0625
2565135.95581,2.83847427472e-09,2.16656648528e-08,2540428.16162,2589843.75
2614940.64331,2.86327641906e-09,1.13927847316e-08,2590232.84912,2639648.4375
2664745.33081,3.3791284626e-09,1.4172302221e-08,2640037.53662,2689453.125
2714550.01831,3.89898859817e-09,2.54410497864e-08,2689842.22412,2739257.8125
2764354.70581,3.67286806196e-09,1.7549276969e-08,2739646.91162,2789062.5
2814159.39331,3.14627898848e-09,2.71334039823e-08,2789451.59912,2838867.1875
2863964.08081,3.54621224778e-09,2.35296599403e-08,2839256.28662,2888671.875
2913768.76831,2.40218359955e-09,1.62728138158e-08,2889060.97412,2938476.5625
2963573.45581,3.06997297783e-09,1.71808566587e-08,2938865.66162,2988281.25
3013378.14331,3.2292685064e-09,2.81855450969e-08,2988670.34912,3038085.9375
3063182.83081,2.74070411207e-09,1.41226028129e-08,3038475.03662,3087890.625
3112987.51831,2.73545730143e-09,1.1205327569e-08,3088279.72412,3137695.3125
3162792.20581,3.54926536846e-09,2.45229075518e-08,3138084.41162,3187500
3212596.89331,2.95895199195e-09,2.45864965069e-08,3187889.09912,3237304.6875
3262401.58081,2.4749212628e-09,1.25612872764e-08,3237693.78662,3287109.375
3312206.26831,2.06658202917e-09,1.10181235237e-08,3287498.47412,3336914.0625
3362010.95581,2.47271454156e-09,1.81921321018e-08,3337303.16162,3386718.75
3411815.64331,2.0734321229e-09,2.24490131661e-08,3387107.84912,3436523.4375
3461620.33081,2.43254295775e-09,1.13760949453e-08,3436912.53662,3486328.125
3511425.01831,1.7406793651e-09,8.06049664981e-09,3486717.22412,3536132.8125
3561229.70581,3.73038410543e-09,5.7842195334e-08,3536521.91162,3585937.5
3611034.39331,2.39094024794e-09,2.07280248802e-08,3586326.59912,3635742.1875
3660839.08081,1.87217323225e-09,1.0874736771e-08,3636131.28662,3685546.875
3710643.76831,2.35302347919e-09,8.65259659128e-09,3685935.97412,3735351.5625
3760448.45581,2.3511193513e-09,3.34817371784e-08,3735740.66162,3785156.25
3810253.14331,2.87291123698e-09,1.20689079649e-08,3785545.34912,3834960.9375
3860057.83081,1.68994627077e-09,1.10146724856e-08,3835350.03662,3884765.625
3909862.51831,3.10804713002e-09,1.5198374672e-08,3885154.72412,3934570.3125
3959667.20581,2.18417736892e-09,3.07648562211e-08,3934959.41162,3984375
4009471.89331,2.75879640994e-09,3.11501131623e-08,3984764.09912,4034179.6875
4059276.58081,2.15631179796e-09,9.3395432358e-09,4034568.78662,4083984.375
4109081.26831,1.83283262283e-09,1.15434194902e-08,4084373.47412,4133789.0625
4158885.95581,2.50635603145e-09,3.31184266379e-08,4134178.16162,4183593.75
4208690.64331,2.43151305711e-09,2.74093653246e-08,4183982.84912,4233398.4375
4258495.33081,2.01024906386e-09,1.10675939446e-08,4233787.53662,4283203.125
4308300.01831,2.01782547222e-09,9.8995035194e-09,4283592.22412,4333007.8125
4358104.70581,2.64201626898e-09,2.1903515649e-08,4333396.91162,4382812.5
4407909.39331,2.29049938309e-09,2.62644512225e-08,4383201.59912,4432617.1875
4457714.08081,1.62622830556e-09,6.85007011584e-09,4433006.28662,4482421.875
4507518.76831,1.51300948397e-09,9.28150722083e-09,4482810.97412,4532226.5625
4557323.45581,2.83602548558e-09,4.95935368897e-08,4532615.66162,4582031.25
4607128.14331,2.26920714043e-09,2.42682776724e-08,4582420.34912,4631835.9375
4656932.83081,1.77222609303e-09,1.34040546578e-08,4632225.03662,4681640.625
4706737.51831,1.74537513755e-09,1.06126736421e-08,4682029.72412,4731445.3125
4756542.20581,2.26893495479e-09,3.22119982377e-08,4731834.41162,4781250
4806346.89331,2.59822451887e-09,2.74029348815e-08,4781639.09912,4831054.6875
4856151.58081,1.80570185237e-09,7.73978450906e-09,4831443.78662,4880859.375
4905956.26831,1.86574220967e-09,9.9897939812e-09,4881248.47412,4930664.0625
4955760.95581,2.59452962215e-09,3.06503577285e-08,4931053.16162,4980468.75
5005565.64331,2.45725872315e-09,3.95862930135e-08,4980857.84912,5030273.4375
5055370.33081,1.8122201998e-09,8.12975064418e-09,5030662.53662,5080078.125
5105175.01831,2.04360641728e-09,9.92603292507e-09,5080467.22412,5129882.8125
5154979.70581,2.78059793028e-09,2.87032745284e-08,5130271.91162,5179687.5
5204784.39331,2.33759051635e-09,1.00444809209e-08,5180076.59912,5229492.1875
